Website,Avg_Daily_Visitors,Avg_Daily_Pageviews,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Traffic_Rank
www.noaa.gov,605493,1640887,8,1580,670,314,1,47100,0.04128,0.0456,0.002486,0.002669,2.304,1869
www.orbund.com,4516,17161,0,0,2,4,0,4,0.000444,0.000416,0.000033,0.000036,3.024,146346
www.nairaland.com,686292,5435439,1250,121,1220,69,0,23,0.05568,0.052992,0.010752,0.009994,7.296,1086
www.primewire.ag,974201,6614827,0,2,3500,63,0,2150,0.07008,0.078432,0.010368,0.013133,6.144,873
www.oneplace.com,15303,30606,8,112,9550,62,0,65400,0.000955,0.001242,0.000042,0.000065,1.6235,61135
www.domlec.dm,250,499,0,0,0,0,0,0,NA,0.000037,NA,0.000004,NA,1516625
www.google.com.do,1291310,9542786,94,1,3570,67,0,139,0.10176,0.10368,0.017952,0.017462,6.6336,565
www.corotos.com.do,78100,1015299,4,16,2120,82,0,1,0.007104,0.00577,0.002198,0.001718,13.44,2979
www.listindiario.com,92915,232287,5,23500,4670,52,1,1,0.006048,0.007008,0.000317,0.0004,1.92,2847
www.mp3teca.com,46266,203572,0,33,67,0,2,0,0.003744,0.003418,0.000384,0.000332,3.84,2813
www.gob.do,89025,373907,0,0,0,0,0,0,0.003534,0.007201,0.000372,0.000683,4.1065,11592
www.diariolibre.com,75193,203022,0,877,138,192,0,2,0.004298,0.005892,0.000325,0.000386,2.7695,13720
www.bpd.com.do,71925,143850,1,5,956,9,0,0,0.003916,0.00551,0.000172,0.000258,1.719,18190
www.popularenlinea.com,65714,111713,1,0,36,96,0,0,0.003534,0.005023,0.000124,0.000205,1.4325,19397
www.bhdleon.com.do,45240,275967,0,0,83,178,0,0,0.001815,0.003639,0.000229,0.000548,5.0615,19757
www.remolacha.net,54836,197411,65,7980,111,78,0,215,0.003534,0.004479,0.000258,0.000354,2.7695,18523
www.mamasijaya.me,17519,147167,0,0,1,0,0,0,0.001152,0.00144,0.000278,0.000252,9.504,6969
www.1411.com.do,9245,14793,2,0,1,1,0,0,0.00085,0.000774,0.000023,0.000032,0.955,30773
www.google.com.ec,1025555,6143072,315,2,3570,28,0,103,0.079872,0.081792,0.010944,0.011107,5.1456,777
www.elcomercio.com,70250,140501,53,2630,12,68,0,133,0.004992,0.005837,0.000259,0.000272,1.92,1882
www.eluniverso.com,84061,205111,263,40,28000,75,0,129,0.00528,0.006566,0.000317,0.000381,2.304,1852
www.ecuavisa.com,35291,59994,0,3760,8770,6,0,0,0.002016,0.002678,0.000084,0.000107,1.632,3440
www.elnoticiero.com.ec,6376,10201,0,0,2,0,0,0,0.000506,0.000516,0.000018,0.000018,1.528,10295
www.educacion.gob.ec,N/A,N/A,0,553,50,3,0,0,NA,NA,NA,NA,NA,20052
www.estadio.ec,4693,11732,0,29,1,0,0,0,0.000334,0.00043,0.00002,0.000021,2.483,17152
www.olx.com.ec,57315,510107,0,1,72,12,0,0,0.005157,0.004555,0.002101,0.000915,15.28,14703
www.iess.gob.ec,N/A,N/A,0,209,2,14,0,0,NA,NA,NA,NA,NA,18989
www.ecuagol.com,6653,30606,1,8,10,69,0,0,0.000669,0.000544,0.000053,0.000054,3.1515,13555
www.mercadolibre.com.ec,55754,389721,1,2,108,3,0,5,0.003916,0.004594,0.000759,0.000752,7.1625,14583
www.vistazo.com,4708,6121,0,4290,416,32,0,0,0.000411,0.000401,0.00001,0.000011,0.955,15235
www.studiofutbol.com.ec,4372,12242,6,3650,12,14,0,1,0.000392,0.000334,0.000032,0.00002,3.3425,13080
www.pichincha.com,40495,223936,0,27,0,14,0,0,0.002579,0.003381,0.000372,0.00045,5.4435,20683
www.sri.gob.ec,N/A,N/A,1,652,3,99,0,0,NA,NA,NA,NA,NA,19836
www.futbolecuador.com,3246,7141,190,25,500,11,0,134,0.000229,0.000306,0.00001,0.000015,1.6235,21722
www.brainly.lat,262962,512777,1,30,13,1,0,0,0.02688,0.018624,0.001238,0.000874,1.92,6556
www.educarecuador.gob.ec,N/A,N/A,0,51,0,1,0,0,NA,NA,NA,NA,NA,22928
www.biess.fin.ec,18528,125996,0,163,0,8,0,0,0.002483,0.001834,0.000441,0.000301,7.5445,36554
www.serbachiller.ec,16653,56621,0,0,0,0,0,0,0.001242,0.001967,0.000082,0.000154,2.7695,89523
www.youtube-mp3.org,4177626,4261179,5950,17,13300,149,0,108000,0.29568,0.36576,0.006778,0.008791,0.9792,293
www.google.com.eg,8311367,52610954,411,1,2320,294,0,425,0.66144,0.663168,0.104544,0.098784,5.952,88
www.albawabhnews.com,85165,195880,458,12,16900,4,0,0,0.005856,0.007277,0.000307,0.000403,2.208,466
www.alsbbora.com,25468,76404,0,3,31,0,0,0,0.00192,0.002294,0.000144,0.000144,3.072,1513
www.videoyoum7.com,16023,25639,30,578,751000,12,0,0,0.001728,0.002102,0.000063,0.000074,1.536,588
www.elbalad.news,82375,255363,33,0,1240,5,0,0,0.006144,0.007555,0.000374,0.000544,2.496,590
www.alwafd.org,76095,190240,0,746,695000,510,0,15,0.005856,0.006029,0.000336,0.000335,2.208,1175
www.elfagr.org,101355,303051,60,2100,1540,87,0,0,0.01056,0.008179,0.000672,0.000603,2.496,716
www.innfrad.com,13410,17434,0,0,3,0,0,0,0.00095,0.001152,0.000025,0.000034,1.056,942
www.vetogate.com,171619,465088,347,4,4470,4,0,3,0.01344,0.014496,0.000743,0.000907,2.304,839
www.elmogaz.com,7692,18460,0,2,86,0,0,1,0.000797,0.000595,0.000036,0.000032,1.92,734
www.almasryalyoum.com,256388,594821,41,37,2640000,183,0,1,0.02016,0.021792,0.001248,0.001171,2.4,858
www.blogspot.com.eg,959939,2025470,0,0,1,0,0,0,0.075936,0.083904,0.003619,0.004236,2.0256,886
www.elwatannews.com,215085,707632,585,1830,1320000,35,0,1,0.01728,0.01776,0.001478,0.001459,3.552,1124
www.nmisr.com,174344,261516,2,29,14100,32,0,6,0.01248,0.014784,0.000451,0.000534,1.536,1052
www.yallakora.com,621321,2553631,0,7,46200,0,0,2,0.052032,0.052032,0.006307,0.004989,4.56,1357
www.ahlmisrnews.com,12668,21537,0,0,2,0,0,0,0.00073,0.000922,0.000028,0.000038,1.44,1908
www.christian-dogma.com,98635,799932,1,42,238,0,0,1,0.007584,0.008256,0.001642,0.001555,8.352,1411
www.alnaharegypt.com,2475,7179,2,2910,3700,4,0,1,0.000288,0.000202,0.000029,0.000018,3.84,2906
www.korabia.com,92630,287155,18,144,776,25,0,1,0.00816,0.008045,0.000672,0.000614,3.072,1713
www.dbmads.com,505236,687121,0,0,0,0,0,0,0.040896,0.043488,0.001392,0.001334,1.2768,2562
www.alhilalalyoum.com,6508,16921,0,0,0,0,0,0,0.000413,0.000461,0.000026,0.000034,2.688,4812
www.masralarabia.com,163415,323562,24,518,13500,1,0,0,0.01056,0.01344,0.000518,0.000617,1.92,1351
www.cs6hm.com,542940,553799,0,0,0,0,0,0,0.046848,0.047328,0.0012,0.001142,0.9792,2870
www.propaganda-eg.com,3076,3076,0,0,0,0,0,0,0.000019,0.000046,0.000001,0.000006,0.96,6606
www.light-dark.net,69774,390736,7,18,126,8,0,1,0.005376,0.005674,0.000605,0.00079,4.32,1968
www.olx.com.eg,270062,3240753,2,0,386,146,0,0,0.024,0.021696,0.006154,0.006034,11.52,2655
www.file-upload.com,412336,799932,0,0,4,0,0,0,0.03648,0.032544,0.001901,0.001488,1.92,1847
www.souq.com,1162159,5845661,0,15,350000,5280,0,336,0.11232,0.093504,0.013536,0.010598,4.5408,636
www.streaming-unlimited.com,417818,564055,0,1,12,0,0,0,0.026304,0.033216,0.000777,0.001046,1.248,3543
www.arabi21.com,105831,380993,0,6640,1560,8,0,0,0.008064,0.009331,0.000624,0.000728,2.976,1533
www.myegy.tv,558722,3492013,0,0,55,0,0,1,0.04512,0.044064,0.006864,0.00636,6.432,1525
www.elzmannews.com,1538,1538,1,0,3,4,0,0,0.000096,0.00008,0.000003,0.000003,0.96,7103
www.jumia.com.eg,283309,1133238,2,0,5730,401,0,0,0.01824,0.020064,0.002045,0.002057,4.704,3926
www.google.com.sv,521352,3117685,91,0,547,15,0,84,0.04224,0.041376,0.006509,0.006295,5.76,1615
www.laprensagrafica.com,47859,114862,105,20,19900,40,0,2,0.00336,0.004118,0.000173,0.000228,2.016,1991
www.elblog.com,28752,80506,0,101,13,0,0,0,0.002304,0.002208,0.000106,0.000135,1.728,2786
www.elsalvador.com,58661,146653,8,57,7090,74,0,1370,0.00384,0.005059,0.00023,0.000297,2.208,3210
www.lapagina.com.sv,33248,103068,12,389,114,1,0,2,0.002496,0.002515,0.000163,0.00018,2.592,6516
www.elgrafico.com,13117,36727,1,6,21,11,0,1,0.001337,0.000955,0.000105,0.000057,3.247,10429
